id,category,question,expected_type,expected_contains,notes,actual_type,actual_message,passed,fail_reason
1,faq_single,How do I sell my gold?,TEXT_ANSWER,Portfolio > Sell,Article 1,TEXT_ANSWER,"Open the app, go to Portfolio > Sell, choose the product and quantity, and confirm at the live market rate. Funds are credited to your linked bank account after settlement.",True,
2,faq_single,What's the process to buy gold on this platform?,TEXT_ANSWER,GOLD24;UPI,Article 2,TEXT_ANSWER,"To buy gold on this platform, go to the Buy section on the home screen, choose between GOLD24 (99.9% pure gold) or GOLD22 (about 91.6% pure gold), enter an amount or grams you wish to purchase, and proceed to pay via UPI, card, or net banking. Your gold holdings will update once the payment is confirmed.",True,
3,faq_single,How does the recurring savings plan work?,TEXT_ANSWER,weekly;monthly,Article 3,TEXT_ANSWER,"A recurring (systematic) savings plan automatically buys a fixed amount of gold on a schedule you choose (weekly or monthly) from your saved payment method, helping you average your purchase price over time.",True,
4,faq_single,What documents do I need for KYC?,TEXT_ANSWER,photo ID;proof of address,Article 4,TEXT_ANSWER,"We require a government photo ID (passport, driver's license, or national ID) and a proof of address dated within the last 3 months to complete KYC verification.",True,
5,faq_single,Why do transactions sometimes fail?,TEXT_ANSWER,insufficient funds;declined,Article 5,TEXT_ANSWER,"Transactions commonly fail due to insufficient funds, a declined card, bank server timeouts, or KYC verification not yet being complete. Check the failure reason shown on the transaction for specifics.",True,
6,faq_single,How long does it take to get my payout?,TEXT_ANSWER,1-2 business days,Article 6,TEXT_ANSWER,Payouts to your linked bank account are typically processed within 1-2 business days after a sell order settles.,True,
7,faq_single,What fees does the platform charge?,TEXT_ANSWER,0.5%-1%,Article 7,TEXT_ANSWER,We charge a small spread on buy/sell orders (typically 0.5%-1%) plus applicable payment processing fees; there are no separate account maintenance fees.,True,
8,faq_single,What's the difference between 24K and 22K gold?,TEXT_ANSWER,99.9%;91.6%,Article 8,TEXT_ANSWER,"24K (GOLD24) is 99.9% pure gold, while 22K (GOLD22) is about 91.6% pure and alloyed with other metals for durability. Purity affects price per gram.",True,
9,faq_single,Where is my gold stored?,TEXT_ANSWER,insur;vault,Article 9,TEXT_ANSWER,"Gold purchased through the platform is held in insured, audited vaults on your behalf; you own the underlying metal and can request delivery or sell at any time.",True,
10,faq_single,How can I cancel my recurring plan?,TEXT_ANSWER,Recurring Plans;Cancel,Article 10,TEXT_ANSWER,"Go to Recurring Plans in your account settings, select the active plan, and choose Cancel. Any already-purchased gold remains in your portfolio.",True,
11,faq_single,What's the minimum amount I can invest?,TEXT_ANSWER,100,Article 11,TEXT_ANSWER,You can start investing with as little as the equivalent of 100 in your local currency; there is no maximum limit beyond standard KYC-based transaction thresholds.,True,
12,faq_single,Is there a referral bonus?,TEXT_ANSWER,referral code;Rewards,Article 12,TEXT_ANSWER,Yes - share your referral code from the Rewards tab; both you and your friend receive bonus gold credit once they complete their first purchase.,True,
13,faq_single,How do I change my payout bank account?,TEXT_ANSWER,Payment Methods;Bank Accounts,Article 13,TEXT_ANSWER,"Go to Settings > Payment Methods > Bank Accounts, add the new account, and verify it with a small test deposit before setting it as your default payout account.",True,
14,faq_single,Can I get physical gold delivered to me?,TEXT_ANSWER,physical;delivery fee,Article 14,TEXT_ANSWER,"Yes, eligible holdings above the minimum delivery threshold can be redeemed as physical gold coins or bars, shipped securely to your verified address for a delivery fee.",True,
15,faq_single,What happens if I place an order when the market is closed?,TEXT_ANSWER,queued;next available,Article 15,TEXT_ANSWER,Orders placed outside trading hours are queued and executed at the next available live market rate once trading resumes.,True,
16,faq_combined,How do I buy AND sell gold on this platform?,TEXT_ANSWER,Portfolio > Sell;GOLD24,Articles 2+1,TEXT_ANSWER,"To buy gold, go to Buy on the home screen, choose GOLD24 or GOLD22, enter an amount or grams, and pay via UPI, card, or net banking. Your holdings update once payment is confirmed.

To sell your gold, open the app, go to Portfolio > Sell, choose the product and quantity, and confirm at the live market rate. Funds are credited to your linked bank account after settlement.",True,
